week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
25,2019-02-02,12:30:00,Tottenham Hotspur,TOT,Newcastle United,NEW,TOTNEW,41219
25,2019-02-02,15:00:00,Brighton and Hove Albion,BHA,Watford,WAT,BHAWAT,30414
25,2019-02-02,15:00:00,Burnley,BUR,Southampton,SOU,BURSOU,19787
25,2019-02-02,15:00:00,Chelsea,CHE,Huddersfield Town,HUD,CHEHUD,40626
25,2019-02-02,15:00:00,Crystal Palace,CRY,Fulham,FUL,CRYFUL,25355
25,2019-02-02,15:00:00,Everton,EVE,Wolverhampton Wanderers,WOL,EVEWOL,39380
25,2019-02-02,17:30:00,Cardiff City,CAR,Bournemouth,BOU,CARBOU,31939
25,2019-02-03,14:05:00,Leicester City,LEI,Manchester United,MUN,LEIMUN,32148
25,2019-02-03,16:30:00,Manchester City,MCI,Arsenal,ARS,MCIARS,54483
25,2019-02-04,20:00:00,West Ham United,WHU,Liverpool,LIV,WHULIV,59903
