matchweek,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
24,2019-01-29,19:45:00,Arsenal,ARS,Cardiff City,CAR,ARSCAR,59933
24,2019-01-29,19:45:00,Fulham,FUL,Brighton and Hove Albion,BHA,FULBHA,22008
24,2019-01-29,19:45:00,Huddersfield Town,HUD,Everton,EVE,HUDEVE,23699
24,2019-01-29,19:45:00,Wolverhampton Wanderers,WOL,West Ham United,WHU,WOLWHU,31122
24,2019-01-29,20:00:00,Manchester United,MUN,Burnley,BUR,MUNBUR,74529
24,2019-01-29,20:00:00,Newcastle United,NEW,Manchester City,MCI,NEWMCI,50861
24,2019-01-30,19:45:00,Bournemouth,BOU,Chelsea,CHE,BOUCHE,10227
24,2019-01-30,19:45:00,Southampton,SOU,Crystal Palace,CRY,SOUCRY,28339
24,2019-01-30,20:00:00,Liverpool,LIV,Leicester City,LEI,LIVLEI,53092
24,2019-01-30,20:00:00,Tottenham Hotspur,TOT,Watford,WAT,TOTWAT,29164
