week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
29,2019-03-02,12:30:00,Tottenham Hotspur,TOT,Arsenal,ARS,TOTARS,81332
29,2019-03-02,15:00:00,Bournemouth,BOU,Manchester City,MCI,BOUMCI,10699
29,2019-03-02,15:00:00,Brighton and Hove Albion,BHA,Huddersfield Town,HUD,BHAHUD,30182
29,2019-03-02,15:00:00,Burnley,BUR,Crystal Palace,CRY,BURCRY,19223
29,2019-03-02,15:00:00,Manchester United,MUN,Southampton,SOU,MUNSOU,74459
29,2019-03-02,15:00:00,Wolverhampton Wanderers,WOL,Cardiff City,CAR,WOLCAR,31309
29,2019-03-02,17:30:00,West Ham United,WHU,Newcastle United,NEW,WHUNEW,59910
29,2019-03-03,12:00:00,Watford,WAT,Leicester City,LEI,WATLEI,20062
29,2019-03-03,14:05:00,Fulham,FUL,Chelsea,CHE,FULCHE,24900
29,2019-03-03,16:15:00,Everton,EVE,Liverpool,LIV,EVELIV,39335
