week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
31,2019-03-16,15:00:00,Bournemouth,BOU,Newcastle United,NEW,BOUNEW,10625
31,2019-03-16,15:00:00,Burnley,BUR,Leicester City,LEI,BURLEI,20719
31,2019-03-16,15:00:00,West Ham United,WHU,Huddersfield Town,HUD,WHUHUD,59931
31,2019-03-17,14:15:00,Fulham,FUL,Liverpool,LIV,FULLIV,25043
31,2019-03-17,16:30:00,Everton,EVE,Chelsea,CHE,EVECHE,39356
31,2019-04-03,19:45:00,Tottenham Hotspur,TOT,Crystal Palace,CRY,TOTCRY,59215
31,2019-04-16,19:45:00,Brighton and Hove Albion,BHA,Cardiff City,CAR,BHACAR,30226
31,2019-04-23,19:45:00,Watford,WAT,Southampton,SOU,WATSOU,0
31,2019-04-24,19:45:00,Wolverhampton Wanderers,WOL,Arsenal,ARS,WOLARS,0
31,2019-04-24,20:00:00,Manchester United,MUN,Manchester City,MCI,MUNMCI,0
