week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
15,2018-12-04,19:45:00,Bournemouth,BOU,Huddersfield Town,HUD,BOUHUD,9980
15,2018-12-04,19:45:00,Brighton and Hove Albion,BHA,Crystal Palace,CRY,BHACRY,29663
15,2018-12-04,19:45:00,West Ham United,WHU,Cardiff City,CAR,WHUCAR,56811
15,2018-12-04,20:00:00,Watford,WAT,Manchester City,MCI,WATMCI,20389
15,2018-12-05,19:45:00,Burnley,BUR,Liverpool,LIV,BURLIV,21741
15,2018-12-05,19:45:00,Everton,EVE,Newcastle United,NEW,EVENEW,39350
15,2018-12-05,19:45:00,Fulham,FUL,Leicester City,LEI,FULLEI,22881
15,2018-12-05,19:45:00,Wolverhampton Wanderers,WOL,Chelsea,CHE,WOLCHE,31300
15,2018-12-05,20:00:00,Manchester United,MUN,Arsenal,ARS,MUNARS,74507
15,2018-12-05,20:00:00,Tottenham Hotspur,TOT,Southampton,SOU,TOTSOU,33012
