week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
12,2018-11-10,12:30:00,Cardiff City,CAR,Brighton and Hove Albion,BHA,CARBHA,29402
12,2018-11-10,15:00:00,Huddersfield Town,HUD,West Ham United,WHU,HUDWHU,24069
12,2018-11-10,15:00:00,Leicester City,LEI,Burnley,BUR,LEIBUR,32184
12,2018-11-10,15:00:00,Newcastle United,NEW,Bournemouth,BOU,NEWBOU,49266
12,2018-11-10,15:00:00,Southampton,SOU,Watford,WAT,SOUWAT,28153
12,2018-11-10,17:30:00,Crystal Palace,CRY,Tottenham Hotspur,TOT,CRYTOT,25685
12,2018-11-11,12:00:00,Liverpool,LIV,Fulham,FUL,LIVFUL,53128
12,2018-11-11,14:15:00,Chelsea,CHE,Everton,EVE,CHEEVE,40345
12,2018-11-11,16:30:00,Arsenal,ARS,Wolverhampton Wanderers,WOL,ARSWOL,60030
12,2018-11-11,16:30:00,Manchester City,MCI,Manchester United,MUN,MCIMUN,54316
