matchweek,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
20,2018-12-29,15:00:00,Brighton and Hove Albion,BHA,Everton,EVE,BHAEVE,30597
20,2018-12-29,15:00:00,Fulham,FUL,Huddersfield Town,HUD,FULHUD,24423
20,2018-12-29,15:00:00,Leicester City,LEI,Cardiff City,CAR,LEICAR,32047
20,2018-12-29,15:00:00,Tottenham Hotspur,TOT,Wolverhampton Wanderers,WOL,TOTWOL,46356
20,2018-12-29,15:00:00,Watford,WAT,Newcastle United,NEW,WATNEW,20336
20,2018-12-29,17:30:00,Liverpool,LIV,Arsenal,ARS,LIVARS,53326
20,2018-12-30,12:00:00,Crystal Palace,CRY,Chelsea,CHE,CRYCHE,25781
20,2018-12-30,14:15:00,Burnley,BUR,West Ham United,WHU,BURWHU,20933
20,2018-12-30,14:15:00,Southampton,SOU,Manchester City,MCI,SOUMCI,31381
20,2018-12-30,16:30:00,Manchester United,MUN,Bournemouth,BOU,MUNBOU,74556
