week,date,match,player,minute,extra_minute,scorer_team
36,2019-04-26,LIVHUD,Keïta,1,,LIV
36,2019-04-26,LIVHUD,Mané,23,,LIV
36,2019-04-26,LIVHUD,Salah,45,1,LIV
36,2019-04-26,LIVHUD,Mané,66,,LIV
36,2019-04-26,LIVHUD,Salah,83,1,LIV
36,2019-04-27,SOUBOU,Long,12,,SOU
36,2019-04-27,BHANEW,Pérez,18,,NEW
36,2019-04-27,SOUBOU,Gosling,20,,BOU
36,2019-04-27,SOUBOU,Wilson,32,,BOU
36,2019-04-27,WATWOL,Jiménez,41,,WOL
36,2019-04-27,WATWOL,Gray,49,,WAT
36,2019-04-27,SOUBOU,Ward-Prowse,55,,SOU
36,2019-04-27,TOTWHU,Antonio,67,,WHU
36,2019-04-27,SOUBOU,Targett,67,,SOU
36,2019-04-27,BHANEW,Groß,75,,BHA
36,2019-04-27,WATWOL,Jota,77,,WOL
36,2019-04-27,FULCAR,Babel,79,,FUL
36,2019-04-27,SOUBOU,Wilson,86,,BOU
36,2019-04-28,MUNCHE,Mata,11,,MUN
36,2019-04-28,MUNCHE,Alonso,43,,CHE
36,2019-04-28,LEIARS,Tielemans,59,,LEI
36,2019-04-28,BURMCI,Agüero,63,,MCI
36,2019-04-28,LEIARS,Vardy,86,,LEI
36,2019-04-28,LEIARS,Vardy,90,5,LEI
