week,date,match,player,minute,extra_minute,scorer_team
5,2018-09-15,MCIFUL,Sané,2,,MCI
5,2018-09-15,CHECAR,Bamba,16,,CAR
5,2018-09-15,BOULEI,Fraser,19,,BOU
5,2018-09-15,MCIFUL,D.Silva,21,,MCI
5,2018-09-15,WATMUN,Lukaku,35,,MUN
5,2018-09-15,BOULEI,Fraser,37,,BOU
5,2018-09-15,CHECAR,Hazard,37,,CHE
5,2018-09-15,WATMUN,Smalling,38,,MUN
5,2018-09-15,HUDCRY,Zaha,38,,CRY
5,2018-09-15,TOTLIV,Wijnaldum,39,,LIV
5,2018-09-15,BOULEI,King,41,,BOU
5,2018-09-15,CHECAR,Hazard,44,,CHE
5,2018-09-15,MCIFUL,Sterling,47,,MCI
5,2018-09-15,NEWARS,Xhaka,49,,ARS
5,2018-09-15,TOTLIV,Firmino,54,,LIV
5,2018-09-15,NEWARS,Özil,58,,ARS
5,2018-09-15,WATMUN,Gray,65,,WAT
5,2018-09-15,CHECAR,Hazard,80,,CHE
5,2018-09-15,BOULEI,Smith,81,,BOU
5,2018-09-15,CHECAR,Willian,83,,CHE
5,2018-09-15,BOULEI,Maddison,88,,LEI
5,2018-09-15,BOULEI,Albrighton,89,,LEI
5,2018-09-15,NEWARS,Clark,90,1,NEW
5,2018-09-15,TOTLIV,Lamela,90,3,TOT
5,2018-09-16,EVEWHU,Yarmolenko,11,,WHU
5,2018-09-16,EVEWHU,Yarmolenko,31,,WHU
5,2018-09-16,EVEWHU,Sigurðsson,45,2,EVE
5,2018-09-16,WOLBUR,Jiménez,61,,WOL
5,2018-09-16,EVEWHU,Arnautović,61,,WHU
5,2018-09-17,SOUBHA,Højbjerg,35,,SOU
5,2018-09-17,SOUBHA,Ings,65,,SOU
5,2018-09-17,SOUBHA,Duffy,67,,BHA
5,2018-09-17,SOUBHA,Murray,90,1,BHA
