matchweek,date,match,player,minute,extra_minute,scorer_team
27,2019-02-22,CARWAT,Deulofeu,18,,WAT
27,2019-02-22,WHUFUL,Chicharito,29,,WHU
27,2019-02-22,WHUFUL,Babel,3,,FUL
27,2019-02-22,WHUFUL,Diop,40,,WHU
27,2019-02-22,CARWAT,Deulofeu,61,,WAT
27,2019-02-22,CARWAT,Deulofeu,63,,WAT
27,2019-02-22,CARWAT,Deeney,73,,WAT
27,2019-02-22,CARWAT,Bamba,82,,CAR
27,2019-02-22,CARWAT,Deeney,90,1,WAT
27,2019-02-22,WHUFUL,Antonio,90,1,WHU
27,2019-02-23,BOUWOL,King,14,,BOU
27,2019-02-23,LEICRY,Batshuayi,40,,CRY
27,2019-02-23,NEWHUD,Rondón,46,,NEW
27,2019-02-23,NEWHUD,Pérez,52,,NEW
27,2019-02-23,BURTOT,Wood,57,,BUR
27,2019-02-23,LEICRY,Evans,64,,LEI
27,2019-02-23,BURTOT,Kane,65,,TOT
27,2019-02-23,LEICRY,Zaha,70,,CRY
27,2019-02-23,LEICRY,Milivojević,81,,CRY
27,2019-02-23,BURTOT,Barnes,83,,BUR
27,2019-02-23,BOUWOL,Jiménez,83,,WOL
27,2019-02-23,LEICRY,Zaha,90,3,CRY
27,2019-02-24,LEICRY,Mkhitaryan,17,,ARS
27,2019-02-24,LEICRY,Lacazette,6,,ARS
