matchday,date,match,player,minute,extra_minute,scorer_team
31,2019-03-16,WHUHUD,Noble,15,,WHU
31,2019-03-16,WHUHUD,Bacuna,17,,HUD
31,2019-03-16,WHUHUD,Grant,30,,HUD
31,2019-03-16,BURLEI,Maddison,33,,LEI
31,2019-03-16,BURLEI,McNeil,38,,BUR
31,2019-03-16,BOUNEW,Rondón,45,5,NEW
31,2019-03-16,BOUNEW,King,48,,BOU
31,2019-03-16,WHUHUD,Grant,65,,HUD
31,2019-03-16,WHUHUD,Ogbonna,75,,WHU
31,2019-03-16,BOUNEW,King,81,,BOU
31,2019-03-16,WHUHUD,Chicharito,84,,WHU
31,2019-03-16,WHUHUD,Chicharito,90,1,WHU
31,2019-03-16,BOUNEW,Ritchie,90,4,NEW
31,2019-03-16,BURLEI,Morgan,90,,LEI
31,2019-03-17,FULLIV,Mané,26,,LIV
31,2019-03-17,EVECHE,Richarlison,49,,EVE
31,2019-03-17,EVECHE,Sigurðsson,72,,EVE
31,2019-03-17,FULLIV,Babel,74,,FUL
31,2019-03-17,FULLIV,Milner,81,,LIV
