matchweek,date,match,player,minute,extra_minute,scorer_team
20,2018-12-29,LIVARS,Maitland-Niles,11,,ARS
20,2018-12-29,LIVARS,Firmino,14,,LIV
20,2018-12-29,LIVARS,Firmino,16,,LIV
20,2018-12-29,TOTWOL,Kane,22,,TOT
20,2018-12-29,WATNEW,Rondón,29,,NEW
20,2018-12-29,LIVARS,Mané,32,,LIV
20,2018-12-29,LIVARS,Salah,45,2,LIV
20,2018-12-29,BHAEVE,Locadia,59,,BHA
20,2018-12-29,LIVARS,Firmino,65,,LIV
20,2018-12-29,TOTWOL,Boly,72,,WOL
20,2018-12-29,WATNEW,Doucouré,82,,WAT
20,2018-12-29,TOTWOL,Jiménez,83,,WOL
20,2018-12-29,TOTWOL,Costa,87,,WOL
20,2018-12-29,FULHUD,Mitrović,90,1,FUL
20,2018-12-29,LEICAR,Camarasa,90,2,CAR
20,2018-12-30,SOUMCI,D.Silva,10,,MCI
20,2018-12-30,BURWHU,Wood,15,,BUR
20,2018-12-30,MUNBOU,Pogba,33,,MUN
20,2018-12-30,BURWHU,McNeil,34,,BUR
20,2018-12-30,SOUMCI,Højbjerg,37,,SOU
20,2018-12-30,MUNBOU,Aké,45,2,BOU
20,2018-12-30,SOUMCI,Agüero,45,3,MCI
20,2018-12-30,MUNBOU,Rashford,45,,MUN
20,2018-12-30,SOUMCI,Ward-Prowse,45,,MCI
20,2018-12-30,MUNBOU,Pogba,5,,MUN
20,2018-12-30,CRYCHE,Kanté,51,,CHE
20,2018-12-30,MUNBOU,Lukaku,72,,MUN
