week,date,match,player,minute,extra_minute,scorer_team
38,2019-05-12,TOTEVE,Dier,3,,TOT
38,2019-05-12,FULNEW,Shelvey,9,,NEW
38,2019-05-12,FULNEW,Pérez,11,,NEW
38,2019-05-12,WATWHU,Noble,15,,WHU
38,2019-05-12,LIVWOL,Mané,17,,LIV
38,2019-05-12,MUNCAR,Mendez-Laing,23,,CAR
38,2019-05-12,CRYBOU,Batshuayi,24,,CRY
38,2019-05-12,BHAMCI,Murray,27,,BHA
38,2019-05-12,BHAMCI,Agüero,28,,MCI
38,2019-05-12,CRYBOU,Batshuayi,32,,CRY
38,2019-05-12,CRYBOU,Simpson,37,,CRY
38,2019-05-12,BHAMCI,Laporte,38,,MCI
38,2019-05-12,WATWHU,Lanzini,39,,WHU
38,2019-05-12,SOUHUD,Redmond,41,,SOU
38,2019-05-12,CRYBOU,Lerma,45,,BOU
38,2019-05-12,WATWHU,Deulofeu,46,,WAT
38,2019-05-12,BURARS,Aubameyang,52,,ARS
38,2019-05-12,MUNCAR,Mendez-Laing,54,,CAR
38,2019-05-12,SOUHUD,Pritchard,55,,HUD
38,2019-05-12,CRYBOU,Ibe,56,,BOU
38,2019-05-12,FULNEW,Schär,61,,NEW
38,2019-05-12,BHAMCI,Mahrez,63,,MCI
38,2019-05-12,BURARS,Aubameyang,63,,ARS
38,2019-05-12,CRYBOU,van Aanholt,65,,CRY
38,2019-05-12,BURARS,Barnes,65,,BUR
38,2019-05-12,TOTEVE,Walcott,69,,EVE
38,2019-05-12,WATWHU,Arnautovic,71,,WHU
38,2019-05-12,TOTEVE,Tosun,72,,EVE
38,2019-05-12,BHAMCI,Gündogan,72,,MCI
38,2019-05-12,CRYBOU,King,73,,BOU
38,2019-05-12,TOTEVE,Eriksen,75,,TOT
38,2019-05-12,WATWHU,Noble,78,,WHU
38,2019-05-12,CRYBOU,Townsend,80,,CRY
38,2019-05-12,LIVWOL,Mané,81,,LIV
38,2019-05-12,FULNEW,Rondón,90,,NEW
38,2019-05-12,BURARS,Nketiah,90,4,ARS
