matchday,date,match,player,minute,extra_minute,scorer_team
34,2019-04-12,LEINEW,Pérez,32,,NEW
34,2019-04-13,MUNWHU,Pogba,19,,MUN
34,2019-04-13,SOUWOL,Redmond,2,,SOU
34,2019-04-13,TOTHUD,Wanyama,24,,TOT
34,2019-04-13,TOTHUD,Moura,27,,TOT
34,2019-04-13,SOUWOL,Boly,28,,WOL
34,2019-04-13,SOUWOL,Redmond,30,,SOU
34,2019-04-13,BURCAR,Wood,31,,BUR
34,2019-04-13,BHABOU,Gosling,33,,BOU
34,2019-04-13,FULEVE,Cairney,46,,FUL
34,2019-04-13,MUNWHU,F.Anderson,49,,WHU
34,2019-04-13,BHABOU,Fraser,55,,BOU
34,2019-04-13,FULEVE,Babel,69,,FUL
34,2019-04-13,SOUWOL,Long,71,,SOU
34,2019-04-13,BHABOU,Brooks,74,,BOU
34,2019-04-13,MUNWHU,Pogba,80,,MUN
34,2019-04-13,BHABOU,Wilson,82,,BOU
34,2019-04-13,TOTHUD,Moura,87,,TOT
34,2019-04-13,BURCAR,Wood,90,2,BUR
34,2019-04-13,BHABOU,Stanislas,90,2,BOU
34,2019-04-13,TOTHUD,Moura,90,3,TOT
34,2019-04-14,CRYMCI,Sterling,15,,MCI
34,2019-04-14,LIVCHE,Mané,51,,LIV
34,2019-04-14,LIVCHE,Salah,53,,LIV
34,2019-04-14,CRYMCI,Sterling,63,,MCI
34,2019-04-14,CRYMCI,Milivojević,81,,CRY
34,2019-04-14,CRYMCI,Jesus,90,,MCI
34,2019-04-15,WATARS,Aubameyang,10,,ARS
34,2019-04-16,BHACAR,Mendez-Laing,22,,CAR
34,2019-04-16,BHACAR,Morrison,50,,CAR
