week,date,match,player,minute,extra_minute,scorer_team
17,2018-12-15,WOLBOU,Jiménez,12,,WOL
17,2018-12-15,WATCAR,Deulofeu,16,,WAT
17,2018-12-15,FULWHU,Snodgrass,17,,WHU
17,2018-12-15,MCIEVE,Jesus,22,,MCI
17,2018-12-15,FULWHU,Antonio,29,,WHU
17,2018-12-15,CRYLEI,Milivojević,39,,CRY
17,2018-12-15,MCIEVE,Jesus,50,,MCI
17,2018-12-15,WATCAR,Holebas,52,,WAT
17,2018-12-15,HUDNEW,Rondón,55,,NEW
17,2018-12-15,MCIEVE,Calvert-Lewin,65,,EVE
17,2018-12-15,WATCAR,Quina,68,,WAT
17,2018-12-15,MCIEVE,Sterling,69,,MCI
17,2018-12-15,WATCAR,Hoilett,80,,CAR
17,2018-12-15,WATCAR,Reid,82,,CAR
17,2018-12-15,TOTBUR,Eriksen,90,1,TOT
17,2018-12-15,WOLBOU,Cavaleiro,90,4,WOL
17,2018-12-16,BHACHE,Pedro,17,,CHE
17,2018-12-16,SOUARS,Ings,20,,SOU
17,2018-12-16,LIVMUN,Mané,24,,LIV
17,2018-12-16,SOUARS,Mkhitaryan,28,,ARS
17,2018-12-16,LIVMUN,Lingard,33,,MUN
17,2018-12-16,BHACHE,Hazard,33,,CHE
17,2018-12-16,SOUARS,Ings,44,,SOU
17,2018-12-16,SOUARS,Mkhitaryan,53,,ARS
17,2018-12-16,BHACHE,March,66,,BHA
17,2018-12-16,LIVMUN,Shaqiri,73,,LIV
17,2018-12-16,LIVMUN,Shaqiri,80,,LIV
17,2018-12-16,SOUARS,Austin,85,,SOU
