matchday,date,fixture_code,player,minute,extra_minute,scorer_team
11,2018-11-03,WHUBUR,Arnautović,10,,WHU
11,2018-11-03,BOUMUN,Wilson,11,,BOU
11,2018-11-03,EVEBHA,Richarlison,26,,EVE
11,2018-11-03,WOLTOT,Lamela,27,,TOT
11,2018-11-03,WOLTOT,Moura,30,,TOT
11,2018-11-03,EVEBHA,Dunk,33,,BHA
11,2018-11-03,BOUMUN,Martial,35,,MUN
11,2018-11-03,WHUBUR,Guðmundsson,45,,BUR
11,2018-11-03,EVEBHA,Coleman,50,,EVE
11,2018-11-03,CARLEI,Gray,55,,LEI
11,2018-11-03,WOLTOT,Kane,61,,TOT
11,2018-11-03,ARSLIV,Milner,61,,LIV
11,2018-11-03,NEWWAT,Pérez,65,,NEW
11,2018-11-03,WHUBUR,Anderson,68,,WHU
11,2018-11-03,WOLTOT,Neves,68,,WOL
11,2018-11-03,EVEBHA,Richarlison,77,,EVE
11,2018-11-03,WHUBUR,Wood,77,,BUR
11,2018-11-03,WOLTOT,Jiménez,79,,WOL
11,2018-11-03,ARSLIV,Lacazette,82,,ARS
11,2018-11-03,WHUBUR,Anderson,84,,WHU
11,2018-11-03,WHUBUR,Chicharito,90,2,WHU
11,2018-11-03,BOUMUN,Rashford,90,2,MUN
11,2018-11-04,MCISOU,Agüero,12,,MCI
11,2018-11-04,MCISOU,D.Silva,18,,MCI
11,2018-11-04,MCISOU,Ings,30,,SOU
11,2018-11-04,CHECRY,Morata,32,,CHE
11,2018-11-04,MCISOU,Sterling,45,2,MCI
11,2018-11-04,CHECRY,Townsend,53,,CRY
11,2018-11-04,MCISOU,Hoedt,6,,MCI
11,2018-11-04,CHECRY,Morata,65,,CHE
11,2018-11-04,MCISOU,Sterling,67,,MCI
11,2018-11-04,CHECRY,Pedro,70,,CHE
11,2018-11-04,MCISOU,Sané,90,1,MCI
11,2018-11-05,HUDFUL,Fosu-Mensah,29,,HUD
