week,date,match,player,minute,extra_minute,scorer_team
13,2018-11-24,TOTCHE,Alli,8,,TOT
13,2018-11-24,WHUMCI,D.Silva,11,,MCI
13,2018-11-24,BHALEI,Murray,15,,BHA
13,2018-11-24,TOTCHE,Kane,16,,TOT
13,2018-11-24,FULSOU,Armstrong,18,,SOU
13,2018-11-24,WHUMCI,Sterling,19,,MCI
13,2018-11-24,FULSOU,Mitrović,33,,FUL
13,2018-11-24,WHUMCI,Sané,34,,MCI
13,2018-11-24,FULSOU,Schürrle,43,,FUL
13,2018-11-24,FULSOU,Armstrong,53,,SOU
13,2018-11-24,TOTCHE,Heung-Min,54,,TOT
13,2018-11-24,EVECAR,Sigurðsson,59,,EVE
13,2018-11-24,FULSOU,Mitrović,63,,FUL
13,2018-11-24,WATLIV,Salah,67,,LIV
13,2018-11-24,WATLIV,Alexander-Arnold,76,,LIV
13,2018-11-24,BHALEI,Vardy,79,,LEI
13,2018-11-24,TOTCHE,Giroud,85,,CHE
13,2018-11-24,WATLIV,Firmino,89,,LIV
13,2018-11-24,WHUMCI,Sané,90,3,MCI
13,2018-11-25,WOLHUD,Mooy,6,,HUD
13,2018-11-25,BOUARS,Lerma,30,,ARS
13,2018-11-25,BOUARS,King,45,1,BOU
13,2018-11-25,BOUARS,Aubameyang,67,,ARS
13,2018-11-25,WOLHUD,Mooy,74,,HUD
13,2018-11-26,BURNEW,Mee,4,,NEW
13,2018-11-26,BURNEW,Clark,23,,NEW
13,2018-11-26,BURNEW,Vokes,40,,BUR
