week,date,match,player,minute,extra_minute,scorer_team
23,2019-01-19,WOLLEI,Bennett,12,,WOL
23,2019-01-19,ARSCHE,Lacazette,14,,ARS
23,2019-01-19,NEWCAR,Schär,24,,NEW
23,2019-01-19,MUNBHA,Pogba,27,,MUN
23,2019-01-19,LIVCRY,Townsend,34,,CRY
23,2019-01-19,ARSCHE,Koscielny,39,,ARS
23,2019-01-19,WOLLEI,Jota,4,,WOL
23,2019-01-19,MUNBHA,Rashford,42,,MUN
23,2019-01-19,LIVCRY,Salah,46,,LIV
23,2019-01-19,WOLLEI,Gray,47,,LEI
23,2019-01-19,SOUEVE,Ward-Prowse,50,,SOU
23,2019-01-19,WOLLEI,Coady,51,,LEI
23,2019-01-19,BOUWHU,Wilson,53,,BOU
23,2019-01-19,LIVCRY,Firmino,53,,LIV
23,2019-01-19,NEWCAR,Schär,63,,NEW
23,2019-01-19,WOLLEI,Jota,64,,WOL
23,2019-01-19,SOUEVE,Digne,64,,SOU
23,2019-01-19,LIVCRY,Tomkins,65,,CRY
23,2019-01-19,MUNBHA,Groß,72,,BHA
23,2019-01-19,LIVCRY,Salah,75,,LIV
23,2019-01-19,WOLLEI,Morgan,87,,LEI
23,2019-01-19,BOUWHU,King,90,1,BOU
23,2019-01-19,SOUEVE,Sigurðsson,90,1,EVE
23,2019-01-19,NEWCAR,Pérez,90,3,NEW
23,2019-01-19,WOLLEI,Jota,90,3,WOL
23,2019-01-19,LIVCRY,Meyer,90,5,CRY
23,2019-01-19,LIVCRY,Mané,90,3,LIV
23,2019-01-20,HUDMCI,Danilo,14,,MCI
23,2019-01-20,FULTOT,Llorente,17,,FUL
23,2019-01-20,FULTOT,Alli,51,,TOT
23,2019-01-20,HUDMCI,Sterling,54,,MCI
23,2019-01-20,HUDMCI,Sané,56,,MCI
23,2019-01-20,FULTOT,Winks,90,3,TOT
