matchday,date,fixture_code,player,minute,extra_minute,scorer_team
26,2019-02-09,FULMUN,Pogba,14,,MUN
26,2019-02-09,HUDARS,Iwobi,16,,ARS
26,2019-02-09,FULMUN,Martial,23,,MUN
26,2019-02-09,LIVBOU,Mané,24,,LIV
26,2019-02-09,BHABUR,Wood,26,,BUR
26,2019-02-09,CRYWHU,Noble,27,,WHU
26,2019-02-09,LIVBOU,Wijnaldum,34,,LIV
26,2019-02-09,HUDARS,Lacazette,44,,ARS
26,2019-02-09,LIVBOU,Salah,48,,LIV
26,2019-02-09,BHABUR,Wood,61,,BUR
26,2019-02-09,WATEVE,Gray,65,,WAT
26,2019-02-09,FULMUN,Pogba,65,,MUN
26,2019-02-09,SOUCAR,Bamba,69,,CAR
26,2019-02-09,BHABUR,Barnes,74,,BUR
26,2019-02-09,CRYWHU,Zaha,76,,CRY
26,2019-02-09,BHABUR,Duffy,76,,BHA
26,2019-02-09,SOUCAR,Stephens,90,1,SOU
26,2019-02-09,SOUCAR,Zohore,90,3,CAR
26,2019-02-09,HUDARS,Kolašinac,90,3,HUD
26,2019-02-10,MCICHE,Agüero,13,,MCI
26,2019-02-10,MCICHE,Agüero,19,,MCI
26,2019-02-10,MCICHE,Gündoğan,25,,MCI
26,2019-02-10,TOTLEI,Sánchez,33,,TOT
26,2019-02-10,MCICHE,Sterling,4,,MCI
26,2019-02-10,MCICHE,Agüero,56,,MCI
26,2019-02-10,TOTLEI,Eriksen,63,,TOT
26,2019-02-10,TOTLEI,Vardy,76,,LEI
26,2019-02-10,MCICHE,Sterling,80,,MCI
26,2019-02-10,TOTLEI,Son,90,1,TOT
26,2019-02-11,WOLNEW,Hayden,56,,NEW
26,2019-02-11,WOLNEW,Boly,90,5,WOL
