matchday,date,fixture_code,player,minute,extra_minute,scorer_team
6,2018-09-22,LIVSOU,Hoedt,10,,LIV
6,2018-09-22,MUNWOL,Fred,18,,MUN
6,2018-09-22,LEIHUD,Iheanacho,19,,LEI
6,2018-09-22,FULWAT,Gray,2,,WAT
6,2018-09-22,LIVSOU,Matip,21,,LIV
6,2018-09-22,CARMCI,Agüero,32,,MCI
6,2018-09-22,CARMCI,B.Silva,35,,MCI
6,2018-09-22,BURBOU,Vydra,39,,BUR
6,2018-09-22,BURBOU,Lennon,41,,BUR
6,2018-09-22,BHATOT,Kane,42,,TOT
6,2018-09-22,CARMCI,Gündoğan,44,,MCI
6,2018-09-22,LIVSOU,Salah,45,3,LIV
6,2018-09-22,LEIHUD,Zanka,5,,HUD
6,2018-09-22,MUNWOL,Moutinho,53,,WOL
6,2018-09-22,LEIHUD,Maddison,66,,LEI
6,2018-09-22,CARMCI,Mahrez,67,,MCI
6,2018-09-22,LEIHUD,Vardy,75,,LEI
6,2018-09-22,BHATOT,Lamela,76,,TOT
6,2018-09-22,FULWAT,Mitrović,78,,FUL
6,2018-09-22,BURBOU,Barnes,83,,BUR
6,2018-09-22,BURBOU,Barnes,88,,BUR
6,2018-09-22,CARMCI,Mahrez,89,,MCI
6,2018-09-22,BHATOT,Knockaert,90,3,BHA
6,2018-09-23,ARSEVE,Lacazette,56,,ARS
6,2018-09-23,ARSEVE,Aubameyang,59,,ARS
