matchweek,date,match,player,minute,extra_minute,scorer_team
28,2019-02-26,LEIBHA,Gray,10,,LEI
28,2019-02-26,NEWBUR,Schär,24,,NEW
28,2019-02-26,NEWBUR,Longstaff,38,,NEW
28,2019-02-26,CAREVE,Sigurðsson,41,,EVE
28,2019-02-26,LEIBHA,Vardy,63,,LEI
28,2019-02-26,CAREVE,Sigurðsson,66,,EVE
28,2019-02-26,LEIBHA,Pröpper,66,,BHA
28,2019-02-26,HUDWOL,Mounié,90,1,HUD
28,2019-02-26,CAREVE,Calvert-Lewin,90,3,EVE
28,2019-02-27,LIVWAT,Mané,20,,LIV
28,2019-02-27,SOUFUL,Romeu,23,,SOU
28,2019-02-27,ARSBOU,Mkhitaryan,27,,ARS
28,2019-02-27,ARSBOU,Mousset,30,,BOU
28,2019-02-27,CRYMUN,Lukaku,33,,MUN
28,2019-02-27,ARSBOU,Özil,4,,ARS
28,2019-02-27,SOUFUL,Ward-Prowse,40,,SOU
28,2019-02-27,ARSBOU,Koscielny,47,,ARS
28,2019-02-27,CRYMUN,Lukaku,52,,MUN
28,2019-02-27,CHETOT,Pedro,57,,CHE
28,2019-02-27,ARSBOU,Aubameyang,59,,ARS
28,2019-02-27,MCIWHU,Agüero,59,,MCI
28,2019-02-27,CRYMUN,Ward,66,,CRY
28,2019-02-27,LIVWAT,Origi,66,,LIV
28,2019-02-27,ARSBOU,Lacazette,78,,ARS
28,2019-02-27,CRYMUN,Young,83,,MUN
28,2019-02-27,CHETOT,Trippier,84,,CHE
28,2019-02-27,LIVWAT,Mané,9,,LIV
28,2019-02-27,LIVWAT,van Dijk,79,,LIV
28,2019-02-27,LIVWAT,van Dijk,82,,LIV
