matchday,date,fixture_code,player,minute,extra_minute,scorer_team
10,2018-10-27,LIVCAR,Salah,10,,LIV
10,2018-10-27,WATHUD,Pereyra,10,,WAT
10,2018-10-27,FULBOU,Wilson,14,,BOU
10,2018-10-27,WATHUD,Deulofeu,19,,WAT
10,2018-10-27,LEIWHU,Balbuena,30,,WHU
10,2018-10-27,BHAWOL,Murray,48,,BHA
10,2018-10-27,LIVCAR,Mané,66,,LIV
10,2018-10-27,FULBOU,Brooks,72,,BOU
10,2018-10-27,LIVCAR,Paterson,77,,CAR
10,2018-10-27,WATHUD,Success,80,,WAT
10,2018-10-27,LIVCAR,Shaqiri,84,,LIV
10,2018-10-27,FULBOU,Wilson,85,,BOU
10,2018-10-27,LIVCAR,Mané,87,,LIV
10,2018-10-27,LEIWHU,Ndidi,89,,LEI
10,2018-10-28,BURCHE,Morata,22,,CHE
10,2018-10-28,MUNEVE,Pogba,27,,MUN
10,2018-10-28,CRYARS,Milivojević,45,1,CRY
10,2018-10-28,MUNEVE,Martial,49,,MUN
10,2018-10-28,CRYARS,Xhaka,51,,ARS
10,2018-10-28,CRYARS,Aubameyang,56,,ARS
10,2018-10-28,BURCHE,Barkley,57,,CHE
10,2018-10-28,BURCHE,Willian,62,,CHE
10,2018-10-28,MUNEVE,Sigurðsson,77,,EVE
10,2018-10-28,CRYARS,Milivojević,83,,CRY
10,2018-10-28,BURCHE,Loftus-Cheek,90,2,CHE
10,2018-10-29,TOTMCI,Mahrez,6,,MCI
