matchday,date,match,player,minute,extra_minute,scorer_team
30,2019-03-09,NEWEVE,Calvert-Lewin,18,,EVE
30,2019-03-09,CRYBHA,Murray,19,,BHA
30,2019-03-09,HUDBOU,Wilson,20,,BOU
30,2019-03-09,LEIFUL,Tielemans,21,,LEI
30,2019-03-09,SOUTOT,Kane,26,,TOT
30,2019-03-09,NEWEVE,Richarlison,32,,EVE
30,2019-03-09,CARWHU,Hoilett,4,,CAR
30,2019-03-09,MCIWAT,Sterling,46,,MCI
30,2019-03-09,MCIWAT,Sterling,50,,MCI
30,2019-03-09,CRYBHA,Milivojević,50,,CRY
30,2019-03-09,LEIFUL,Ayité,51,,FUL
30,2019-03-09,CARWHU,Camarasa,52,,CAR
30,2019-03-09,MCIWAT,Sterling,59,,MCI
30,2019-03-09,NEWEVE,Rondón,65,,NEW
30,2019-03-09,MCIWAT,Deulofeu,66,,WAT
30,2019-03-09,HUDBOU,Fraser,66,,BOU
30,2019-03-09,CRYBHA,Knockaert,74,,BHA
30,2019-03-09,SOUTOT,Valery,76,,SOU
30,2019-03-09,LEIFUL,Vardy,78,,LEI
30,2019-03-09,NEWEVE,Pérez,81,,NEW
30,2019-03-09,SOUTOT,Ward-Prowse,81,,SOU
30,2019-03-09,NEWEVE,Pérez,84,,NEW
30,2019-03-09,LEIFUL,Vardy,86,,LEI
30,2019-03-10,ARSMUN,Xhaka,12,,ARS
30,2019-03-10,LIVBUR,Firmino,19,,LIV
30,2019-03-10,LIVBUR,Mané,29,,LIV
30,2019-03-10,CHEWOL,Jiménez,56,,WOL
30,2019-03-10,LIVBUR,Westwood,6,,BUR
30,2019-03-10,LIVBUR,Firmino,67,,LIV
30,2019-03-10,ARSMUN,Aubameyang,69,,ARS
30,2019-03-10,LIVBUR,Guðmundsson,90,1,BUR
30,2019-03-10,CHEWOL,Hazard,90,2,CHE
30,2019-03-10,LIVBUR,Mané,90,3,LIV
