matchday,date,match,player,minute,extra_minute,scorer_team
12,2018-11-10,SOUWAT,Gabbiadini,20,,SOU
12,2018-11-10,CARBHA,Paterson,28,,CAR
12,2018-11-10,NEWBOU,Rondón,40,,NEW
12,2018-11-10,NEWBOU,Lerma,45,6,BOU
12,2018-11-10,CARBHA,Dunk,6,,BHA
12,2018-11-10,HUDWHU,Pritchard,6,,HUD
12,2018-11-10,CRYTOT,Foyth,66,,TOT
12,2018-11-10,NEWBOU,Rondón,7,,NEW
12,2018-11-10,HUDWHU,F.Anderson,74,,WHU
12,2018-11-10,SOUWAT,Holebas,82,,WAT
12,2018-11-10,CARBHA,Bamba,90,,CAR
12,2018-11-11,MCIMUN,D.Silva,12,,MCI
12,2018-11-11,ARSWOL,Cavaleiro,13,,WOL
12,2018-11-11,LIVFUL,Salah,41,,LIV
12,2018-11-11,MCIMUN,Agüero,48,,MCI
12,2018-11-11,LIVFUL,Shaqiri,53,,LIV
12,2018-11-11,MCIMUN,Martial,58,,MUN
12,2018-11-11,ARSWOL,Mkhitaryan,86,,ARS
12,2018-11-11,MCIMUN,Gündoğan,86,,MCI
