matchweek,date,match,player,minute,extra_minute,scorer_team
14,2018-11-30,CARWOL,Doherty,18,,WOL
14,2018-11-30,CARWOL,Gunnarsson,65,,CAR
14,2018-11-30,CARWOL,Hoilett,77,,CAR
14,2018-12-01,HUDBHA,Zanka,1,,HUD
14,2018-12-01,NEWWHU,Chicharito,11,,WHU
14,2018-12-01,LEIWAT,Vardy,12,,LEI
14,2018-12-01,SOUMUN,Armstrong,13,,SOU
14,2018-12-01,CRYBUR,McArthur,16,,CRY
14,2018-12-01,MCIBOU,B.Silva,16,,MCI
14,2018-12-01,SOUMUN,Cédric,20,,SOU
14,2018-12-01,LEIWAT,Maddison,23,,LEI
14,2018-12-01,SOUMUN,Lukaku,33,,MUN
14,2018-12-01,SOUMUN,Herrera,39,,MUN
14,2018-12-01,MCIBOU,Wilson,44,,BOU
14,2018-12-01,HUDBHA,Duffy,45,4,BHA
14,2018-12-01,MCIBOU,Sterling,57,,MCI
14,2018-12-01,NEWWHU,Chicharito,63,,WHU
14,2018-12-01,HUDBHA,Andone,69,,BHA
14,2018-12-01,CRYBUR,Townsend,77,,CRY
14,2018-12-01,MCIBOU,Gündoğan,79,,MCI
14,2018-12-01,NEWWHU,F.Anderson,90,3,WHU
14,2018-12-02,ARSTOT,Aubameyang,10,,ARS
14,2018-12-02,ARSTOT,Dier,30,,TOT
14,2018-12-02,ARSTOT,Kane,34,,TOT
14,2018-12-02,CHEFUL,Pedro,4,,CHE
14,2018-12-02,ARSTOT,Aubameyang,56,,ARS
14,2018-12-02,ARSTOT,Lacazette,74,,ARS
14,2018-12-02,ARSTOT,Torreira,77,,ARS
14,2018-12-02,CHEFUL,Loftus-Cheek,82,,CHE
14,2018-12-02,LIVEVE,Origi,90,6,LIV
