matchday,date,match,player,minute,extra_minute,scorer_team
15,2018-12-04,BOUHUD,Fraser,22,,BOU
15,2018-12-04,BHACRY,Murray,24,,BHA
15,2018-12-04,BHACRY,Balogun,31,,BHA
15,2018-12-04,BOUHUD,Kongolo,38,,HUD
15,2018-12-04,WATMCI,Sané,40,,MCI
15,2018-12-04,BHACRY,Andone,45,4,BHA
15,2018-12-04,WHUCAR,Pérez,49,,WHU
15,2018-12-04,BOUHUD,Wilson,5,,BOU
15,2018-12-04,WATMCI,Mahrez,51,,MCI
15,2018-12-04,WHUCAR,Pérez,54,,WHU
15,2018-12-04,WHUCAR,Antonio,61,,WHU
15,2018-12-04,BHACRY,Milivojević,81,,CRY
15,2018-12-04,WATMCI,Doucouré,85,,WAT
15,2018-12-04,WHUCAR,Murphy,90,5,CAR
15,2018-12-05,WOLCHE,Loftus-Cheek,18,,CHE
15,2018-12-05,EVENEW,Rondón,19,,NEW
15,2018-12-05,MUNARS,Mustafi,26,,ARS
15,2018-12-05,MUNARS,Martial,30,,MUN
15,2018-12-05,EVENEW,Richarlison,38,,EVE
15,2018-12-05,FULLEI,Kamara,42,,FUL
15,2018-12-05,TOTSOU,Moura,51,,TOT
15,2018-12-05,BURLIV,Cork,54,,BUR
15,2018-12-05,TOTSOU,Heung-Min,55,,TOT
15,2018-12-05,WOLCHE,Jiménez,59,,WOL
15,2018-12-05,BURLIV,Milner,62,,LIV
15,2018-12-05,WOLCHE,Jota,63,,WOL
15,2018-12-05,MUNARS,Rojo,68,,ARS
15,2018-12-05,BURLIV,Firmino,69,,LIV
15,2018-12-05,MUNARS,Lingard,69,,MUN
15,2018-12-05,FULLEI,Maddison,74,,LEI
15,2018-12-05,TOTSOU,Kane,9,,TOT
15,2018-12-05,BURLIV,Shaqiri,90,1,LIV
15,2018-12-05,TOTSOU,Austin,90,3,SOU
