week,date,match,player,minute,extra_minute,scorer_team
1,2018-08-10,MUNLEI,Pogba,3,,MUN
1,2018-08-10,MUNLEI,Shaw,83,,MUN
1,2018-08-10,MUNLEI,Vardy,90,2,LEI
1,2018-08-11,NEWTOT,Joselu,11,,NEW
1,2018-08-11,WOLEVE,Richarlison,17,,EVE
1,2018-08-11,NEWTOT,Alli,18,,TOT
1,2018-08-11,BOUCAR,Fraser,24,,BOU
1,2018-08-11,HUDCHE,Kanté,34,,CHE
1,2018-08-11,WATBHA,Pereyra,35,,WAT
1,2018-08-11,FULCRY,Schlupp,41,,CRY
1,2018-08-11,WOLEVE,Neves,44,,WOL
1,2018-08-11,HUDCHE,Jorginho,45,,CHE
1,2018-08-11,WATBHA,Pereyra,54,,WAT
1,2018-08-11,WOLEVE,Richarlison,67,,EVE
1,2018-08-11,FULCRY,Zaha,79,,CRY
1,2018-08-11,NEWTOT,Vertonghen,8,,TOT
1,2018-08-11,WOLEVE,Jiménez,80,,WOL
1,2018-08-11,HUDCHE,Pedro,80,,CHE
1,2018-08-11,BOUCAR,Wilson,90,1,BOU
1,2018-08-12,ARSMCI,Sterling,14,,MCI
1,2018-08-12,LIVWHU,Salah,19,,LIV
1,2018-08-12,LIVWHU,Mané,45,2,LIV
1,2018-08-12,LIVWHU,Mané,53,,LIV
1,2018-08-12,ARSMCI,B.Silva,64,,MCI
1,2018-08-12,LIVWHU,Sturridge,88,,LIV
