matchday,date,fixture_code,player,minute,extra_minute,scorer_team
22,2019-01-12,LEISOU,Ward-Prowse,11,,SOU
22,2019-01-12,BURFUL,Schürrle,2,,FUL
22,2019-01-12,BURFUL,Bryan,20,,BUR
22,2019-01-12,BURFUL,Odoi,23,,BUR
22,2019-01-12,CRYWAT,Cathcart,38,,CRY
22,2019-01-12,CHENEW,Clark,40,,NEW
22,2019-01-12,LEISOU,Long,45,2,SOU
22,2019-01-12,WHUARS,Rice,48,,WHU
22,2019-01-12,BHALIV,Salah,50,,LIV
22,2019-01-12,CHENEW,Willian,57,,CHE
22,2019-01-12,LEISOU,Ndidi,58,,LEI
22,2019-01-12,CRYWAT,Cathcart,67,,WAT
22,2019-01-12,CRYWAT,Cleverley,74,,WAT
22,2019-01-12,CHENEW,Pedro,9,,CHE
22,2019-01-13,TOTMUN,Rashford,44,,MUN
22,2019-01-13,EVEBOU,Zouma,61,,EVE
22,2019-01-13,EVEBOU,Calvert-Lewin,90,5,EVE
22,2019-01-14,MCIWOL,Jesus,10,,MCI
22,2019-01-14,MCIWOL,Jesus,39,,MCI
22,2019-01-14,MCIWOL,Coady,78,,MCI
