week,date,match,player,minute,extra_minute,scorer_team
9,2018-10-20,CARFUL,Schürrle,11,,FUL
9,2018-10-20,CARFUL,Murphy,15,,CAR
9,2018-10-20,MCIBUR,Agüero,17,,MCI
9,2018-10-20,CARFUL,Reid,20,,CAR
9,2018-10-20,WOLWAT,Capoue,20,,WAT
9,2018-10-20,CHEMUN,Rüdiger,21,,CHE
9,2018-10-20,WOLWAT,Pereyra,21,,WAT
9,2018-10-20,HUDLIV,Salah,24,,LIV
9,2018-10-20,NEWBHA,Kayal,29,,BHA
9,2018-10-20,CARFUL,Sessegnon,34,,FUL
9,2018-10-20,WHUTOT,Lamela,44,,TOT
9,2018-10-20,MCIBUR,B.Silva,54,,MCI
9,2018-10-20,CHEMUN,Martial,55,,MUN
9,2018-10-20,MCIBUR,Fernandinho,56,,MCI
9,2018-10-20,CARFUL,Paterson,65,,CAR
9,2018-10-20,CHEMUN,Martial,73,,MUN
9,2018-10-20,MCIBUR,Mahrez,83,,MCI
9,2018-10-20,CARFUL,Harris,87,,CAR
9,2018-10-20,CHEMUN,Barkley,90,6,CHE
9,2018-10-20,MCIBUR,Sané,90,,MCI
9,2018-10-21,EVECRY,Calvert-Lewin,87,,EVE
9,2018-10-21,EVECRY,Tosun,89,,EVE
9,2018-10-22,ARSLEI,Bellerin,31,,LEI
9,2018-10-22,ARSLEI,Özil,45,,ARS
9,2018-10-22,ARSLEI,Aubameyang,63,,ARS
9,2018-10-22,ARSLEI,Aubameyang,66,,ARS
