week,date,match,player,minute,extra_minute,scorer_team
2,2018-08-18,EVESOU,Walcott,15,,EVE
2,2018-08-18,CHEARS,Morata,20,,CHE
2,2018-08-18,LEIWOL,Doherty,29,,LEI
2,2018-08-18,EVESOU,Richarlison,31,,EVE
2,2018-08-18,WHUBOU,Arnautović,33,,WHU
2,2018-08-18,CHEARS,Mkhitaryan,37,,ARS
2,2018-08-18,CHEARS,Iwobi,41,,ARS
2,2018-08-18,TOTFUL,Moura,43,,TOT
2,2018-08-18,LEIWOL,Maddison,45,,LEI
2,2018-08-18,TOTFUL,Mitrović,52,,FUL
2,2018-08-18,EVESOU,Ings,54,,SOU
2,2018-08-18,WHUBOU,Wilson,60,,BOU
2,2018-08-18,WHUBOU,S.Cook,66,,BOU
2,2018-08-18,TOTFUL,Trippier,74,,TOT
2,2018-08-18,TOTFUL,Kane,77,,TOT
2,2018-08-18,CHEARS,Alonso,81,,CHE
2,2018-08-18,CHEARS,Pedro,9,,CHE
2,2018-08-19,BHAMUN,Murray,25,,BHA
2,2018-08-19,MCIHUD,Agüero,25,,MCI
2,2018-08-19,BHAMUN,Duffy,27,,BHA
2,2018-08-19,BURWAT,Gray,3,,WAT
2,2018-08-19,MCIHUD,Jesus,31,,MCI
2,2018-08-19,BHAMUN,Lukaku,34,,MUN
2,2018-08-19,MCIHUD,Agüero,35,,MCI
2,2018-08-19,MCIHUD,Stanković,43,,HUD
2,2018-08-19,BHAMUN,Groß,44,,BHA
2,2018-08-19,MCIHUD,D.Silva,48,,MCI
2,2018-08-19,BURWAT,Deeney,48,,WAT
2,2018-08-19,BURWAT,Hughes,51,,WAT
2,2018-08-19,BURWAT,Tarkowski,6,,BUR
2,2018-08-19,MCIHUD,Agüero,75,,MCI
2,2018-08-19,MCIHUD,Kongolo,84,,MCI
2,2018-08-19,BHAMUN,Pogba,90,5,MUN
2,2018-08-20,CRYLIV,Milner,45,,LIV
2,2018-08-20,CRYLIV,Mané,90,3,LIV
