matchday,date,fixture_code,player,minute,extra_minute,scorer_team
29,2019-03-02,BURCRY,Bardsley,15,,CRY
29,2019-03-02,TOTARS,Ramsey,16,,ARS
29,2019-03-02,WOLCAR,Jota,16,,WOL
29,2019-03-02,WOLCAR,Jiménez,18,,WOL
29,2019-03-02,MUNSOU,Valery,26,,SOU
29,2019-03-02,WHUNEW,Noble,42,,WHU
29,2019-03-02,BURCRY,Batshuayi,48,,CRY
29,2019-03-02,MUNSOU,Pereira,53,,MUN
29,2019-03-02,BOUMCI,Mahrez,55,,MCI
29,2019-03-02,MUNSOU,Lukaku,59,,MUN
29,2019-03-02,WHUNEW,Rice,7,,WHU
29,2019-03-02,TOTARS,Kane,74,,TOT
29,2019-03-02,MUNSOU,Ward-Prowse,75,,SOU
29,2019-03-02,BURCRY,Zaha,76,,CRY
29,2019-03-02,BHAHUD,Andone,79,,BHA
29,2019-03-02,MUNSOU,Lukaku,88,,MUN
29,2019-03-02,BURCRY,Barnes,90,,BUR
29,2019-03-03,FULCHE,Higuaín,20,,CHE
29,2019-03-03,FULCHE,Chambers,27,,FUL
29,2019-03-03,FULCHE,Jorginho,31,,CHE
29,2019-03-03,WATLEI,Deeney,5,,WAT
29,2019-03-03,WATLEI,Vardy,75,,LEI
29,2019-03-03,WATLEI,Gray,90,2,WAT
