matchday,date,fixture_code,player,minute,extra_minute,scorer_team
3,2018-08-25,LIVBHA,Salah,23,,LIV
3,2018-08-25,ARSWHU,Arnautović,25,,WHU
3,2018-08-25,ARSWHU,Monreal,30,,ARS
3,2018-08-25,SOULEI,Bertrand,52,,SOU
3,2018-08-25,BOUEVE,Walcott,56,,EVE
3,2018-08-25,SOULEI,Gray,56,,LEI
3,2018-08-25,WOLMCI,Boly,57,,WOL
3,2018-08-25,BOUEVE,Keane,66,,EVE
3,2018-08-25,WOLMCI,Laporte,69,,MCI
3,2018-08-25,ARSWHU,Diop,70,,ARS
3,2018-08-25,BOUEVE,King,75,,BOU
3,2018-08-25,BOUEVE,Aké,79,,BOU
3,2018-08-25,ARSWHU,Welbeck,90,2,ARS
3,2018-08-25,SOULEI,Maguire,90,2,LEI
3,2018-08-26,FULBUR,Hendrick,10,,BUR
3,2018-08-26,FULBUR,Mitrović,36,,FUL
3,2018-08-26,FULBUR,Mitrović,38,,FUL
3,2018-08-26,FULBUR,Seri,4,,FUL
3,2018-08-26,WATCRY,Pereyra,53,,WAT
3,2018-08-26,FULBUR,Tarkowski,54,,BUR
3,2018-08-26,WATCRY,Holebas,71,,WAT
3,2018-08-26,NEWCHE,Hazard,76,,CHE
3,2018-08-26,WATCRY,Zaha,78,,CRY
3,2018-08-26,FULBUR,Schürrle,83,,FUL
3,2018-08-26,NEWCHE,Joselu,83,,NEW
3,2018-08-26,NEWCHE,Yedlin,87,,CHE
3,2018-08-27,MUNTOT,Kane,50,,TOT
3,2018-08-27,MUNTOT,Moura,52,,TOT
3,2018-08-27,MUNTOT,Moura,84,,TOT
