week,date,match,player,minute,extra_minute,scorer_team
32,2019-03-30,BURWOL,Coady,2,,BUR
32,2019-03-30,WHUEVE,Zouma,5,,EVE
32,2019-03-30,FULMCI,B.Silva,5,,MCI
32,2019-03-30,LEIBOU,Morgan,11,,LEI
32,2019-03-30,FULMCI,Agüero,27,,MCI
32,2019-03-30,MUNWAT,Rashford,28,,MUN
32,2019-03-30,WHUEVE,Bernard,33,,EVE
32,2019-03-30,BHASOU,Højbjerg,53,,SOU
32,2019-03-30,MUNWAT,Martial,72,,MUN
32,2019-03-30,CRYHUD,Milivojević,76,,CRY
32,2019-03-30,BURWOL,McNeil,77,,BUR
32,2019-03-30,LEIBOU,Vardy,82,,LEI
32,2019-03-30,CRYHUD,van Aanholt,88,,CRY
32,2019-03-30,MUNWAT,Doucouré,90,,WAT
32,2019-03-31,LIVTOT,Firmino,16,,LIV
32,2019-03-31,CARCHE,Camarasa,46,,CAR
32,2019-03-31,LIVTOT,Moura,70,,TOT
32,2019-03-31,CARCHE,Azpilicueta,84,,CHE
32,2019-03-31,LIVTOT,Alderweireld,90,,LIV
32,2019-03-31,CARCHE,Loftus-Cheek,90,1,CHE
32,2019-04-01,ARSNEW,Ramsey,30,,ARS
32,2019-04-01,ARSNEW,Lacazette,83,,ARS
