week,date,match,player,minute,extra_minute,scorer_team
18,2018-12-21,WOLLIV,Salah,18,,LIV
18,2018-12-21,WOLLIV,van Dijk,68,,LIV
18,2018-12-22,CARMUN,Rashford,3,,MUN
18,2018-12-22,CARMUN,Martial,11,,MUN
18,2018-12-22,ARSBUR,Aubameyang,14,,ARS
18,2018-12-22,HUDSOU,Redmond,15,,SOU
18,2018-12-22,BOUBHA,Brooks,21,,BOU
18,2018-12-22,MCICRY,Gündoğan,27,,MCI
18,2018-12-22,CARMUN,Herrera,29,,MUN
18,2018-12-22,WHUWAT,Deeney,30,,WAT
18,2018-12-22,MCICRY,Schlupp,33,,CRY
18,2018-12-22,MCICRY,Townsend,35,,CRY
18,2018-12-22,CARMUN,Camarasa,38,,CAR
18,2018-12-22,HUDSOU,Ings,42,,SOU
18,2018-12-22,ARSBUR,Aubameyang,48,,ARS
18,2018-12-22,CHELEI,Vardy,51,,LEI
18,2018-12-22,MCICRY,Milivojević,51,,CRY
18,2018-12-22,CARMUN,Lingard,57,,MUN
18,2018-12-22,HUDSOU,Billing,58,,HUD
18,2018-12-22,ARSBUR,Barnes,63,,BUR
18,2018-12-22,HUDSOU,Obafemi,71,,SOU
18,2018-12-22,BOUBHA,Brooks,77,,BOU
18,2018-12-22,MCICRY,De Bruyne,85,,MCI
18,2018-12-22,WHUWAT,Deulofeu,87,,WAT
18,2018-12-22,CARMUN,Lingard,90,,MUN
18,2018-12-22,ARSBUR,Iwobi,90,1,ARS
18,2018-12-23,EVETOT,Walcott,21,,EVE
18,2018-12-23,EVETOT,Son,27,,TOT
18,2018-12-23,EVETOT,Alli,35,,TOT
18,2018-12-23,EVETOT,Kane,42,,TOT
18,2018-12-23,EVETOT,Eriksen,48,,TOT
18,2018-12-23,EVETOT,Sigurðsson,51,,EVE
18,2018-12-23,EVETOT,Son,61,,TOT
18,2018-12-23,EVETOT,Kane,74,,TOT
