matchday,date,fixture_code,player,minute,extra_minute,scorer_team
4,2018-09-01,LEILIV,Mané,10,,LIV
4,2018-09-01,MCINEW,Yedlin,30,,NEW
4,2018-09-01,EVEHUD,Billing,34,,HUD
4,2018-09-01,EVEHUD,Calvert-Lewin,36,,EVE
4,2018-09-01,BHAFUL,Schürrle,43,,FUL
4,2018-09-01,LEILIV,Firmino,45,,LIV
4,2018-09-01,CRYSOU,Ings,47,,SOU
4,2018-09-01,MCINEW,Walker,52,,MCI
4,2018-09-01,BHAFUL,Mitrović,62,,FUL
4,2018-09-01,LEILIV,Ghezzal,63,,LEI
4,2018-09-01,BHAFUL,Murray,67,,BHA
4,2018-09-01,CHEBOU,Pedro,72,,CHE
4,2018-09-01,MCINEW,Sterling,8,,MCI
4,2018-09-01,BHAFUL,Murray,84,,BHA
4,2018-09-01,CHEBOU,Hazard,85,,CHE
4,2018-09-01,CRYSOU,Højbjerg,90,2,SOU
4,2018-09-01,WHUWOL,Traoré,90,3,WOL
4,2018-09-02,CARARS,Mustafi,11,,ARS
4,2018-09-02,BURMUN,Lukaku,27,,MUN
4,2018-09-02,BURMUN,Lukaku,44,,MUN
4,2018-09-02,CARARS,Camarasa,45,2,CAR
4,2018-09-02,WATTOT,Doucouré,53,,TOT
4,2018-09-02,CARARS,Aubameyang,62,,ARS
4,2018-09-02,WATTOT,Deeney,69,,WAT
4,2018-09-02,CARARS,Ward,70,,CAR
4,2018-09-02,WATTOT,Cathcart,76,,WAT
4,2018-09-02,CARARS,Lacazette,81,,ARS
