week,date,match,player,minute,extra_minute,scorer_team
37,2019-05-03,EVEBUR,Mee,17,,EVE
37,2019-05-03,EVEBUR,Coleman,20,,EVE
37,2019-05-04,BOUTOT,Aké,90,1,BOU
37,2019-05-04,NEWLIV,van Dijk,13,,LIV
37,2019-05-04,WHUSOU,Arnautovic,16,,WHU
37,2019-05-04,NEWLIV,Atsu,20,,NEW
37,2019-05-04,CARCRY,Zaha,28,,CRY
37,2019-05-04,NEWLIV,Salah,28,,LIV
37,2019-05-04,CARCRY,Kelly,31,,CAR
37,2019-05-04,CARCRY,Batshuayi,39,,CRY
37,2019-05-04,NEWLIV,Rondón,54,,NEW
37,2019-05-04,WHUSOU,Arnautovic,69,,WHU
37,2019-05-04,CARCRY,Townsend,70,,CRY
37,2019-05-04,WHUSOU,Fredericks,72,,WHU
37,2019-05-04,WOLFUL,Dendoncker,75,,WOL
37,2019-05-04,NEWLIV,Origi,86,,LIV
37,2019-05-04,CARCRY,Reid,90,,CAR
37,2019-05-05,HUDMUN,McTominay,8,,MUN
37,2019-05-05,ARSBHA,Aubameyang,9,,ARS
37,2019-05-05,CHEWAT,Loftus-Cheek,48,,CHE
37,2019-05-05,CHEWAT,Luiz,51,,CHE
37,2019-05-05,HUDMUN,Mbenza,60,,HUD
37,2019-05-05,ARSBHA,Murray,61,,BHA
37,2019-05-05,CHEWAT,Higuaín,75,,CHE
37,2019-05-06,MCILEI,Kompany,70,,MCI
