matchday,date,match,player,minute,extra_minute,scorer_team
21,2019-01-01,CARTOT,Eriksen,12,,TOT
21,2019-01-01,ARSFUL,Xhaka,25,,ARS
21,2019-01-01,CARTOT,Son,26,,TOT
21,2019-01-01,CARTOT,Kane,3,,TOT
21,2019-01-01,ARSFUL,Lacazette,55,,ARS
21,2019-01-01,EVELEI,Vardy,58,,LEI
21,2019-01-01,ARSFUL,Kamara,69,,FUL
21,2019-01-01,ARSFUL,Ramsey,79,,ARS
21,2019-01-01,ARSFUL,Aubameyang,83,,ARS
21,2019-01-02,BOUWAT,Deeney,14,,WAT
21,2019-01-02,BOUWAT,Deeney,27,,WAT
21,2019-01-02,HUDBUR,Mounié,33,,HUD
21,2019-01-02,BOUWAT,Aké,34,,BOU
21,2019-01-02,BOUWAT,Wilson,37,,BOU
21,2019-01-02,BOUWAT,Sema,38,,WAT
21,2019-01-02,HUDBUR,Wood,40,,BUR
21,2019-01-02,BOUWAT,Fraser,40,,BOU
21,2019-01-02,WHUBHA,Stephens,56,,BHA
21,2019-01-02,WHUBHA,Duffy,58,,BHA
21,2019-01-02,NEWMUN,Lukaku,64,,MUN
21,2019-01-02,WHUBHA,Arnautović,66,,WHU
21,2019-01-02,WHUBHA,Arnautović,68,,WHU
21,2019-01-02,HUDBUR,Barnes,74,,BUR
21,2019-01-02,NEWMUN,Rashford,80,,MUN
21,2019-01-02,WOLCRY,Ayew,83,,CRY
21,2019-01-02,WOLCRY,Milivojević,90,5,CRY
21,2019-01-03,MCILIV,Agüero,40,,MCI
21,2019-01-03,MCILIV,Firmino,64,,LIV
21,2019-01-03,MCILIV,Sané,72,,MCI
