matchday,date,match,player,minute,extra_minute,scorer_team
16,2018-12-08,MUNFUL,Young,13,,MUN
16,2018-12-08,BOULIV,Salah,25,,LIV
16,2018-12-08,MUNFUL,Mata,28,,MUN
16,2018-12-08,BURBHA,Tarkowski,40,,BUR
16,2018-12-08,MUNFUL,Lukaku,42,,MUN
16,2018-12-08,LEITOT,Heung-Min,45,1,TOT
16,2018-12-08,CHEMCI,Kanté,45,,CHE
16,2018-12-08,BOULIV,Salah,48,,LIV
16,2018-12-08,WHUCRY,Snodgrass,48,,WHU
16,2018-12-08,LEITOT,Alli,58,,TOT
16,2018-12-08,WHUCRY,McArthur,6,,CRY
16,2018-12-08,WHUCRY,Chicharito,62,,WHU
16,2018-12-08,WHUCRY,F.Anderson,65,,WHU
16,2018-12-08,MUNFUL,Kamara,67,,FUL
16,2018-12-08,BOULIV,Cook,68,,LIV
16,2018-12-08,CARSOU,Paterson,74,,CAR
16,2018-12-08,WHUCRY,Schlupp,76,,CRY
16,2018-12-08,BOULIV,Salah,77,,LIV
16,2018-12-08,CHEMCI,Luiz,78,,CHE
16,2018-12-08,MUNFUL,Rashford,82,,MUN
16,2018-12-08,ARSHUD,Torreira,83,,ARS
16,2018-12-09,NEWWOL,Jota,17,,WOL
16,2018-12-09,NEWWOL,Pérez,23,,NEW
16,2018-12-09,NEWWOL,Doherty,90,4,WOL
16,2018-12-10,EVEWAT,Richarlison,15,,EVE
16,2018-12-10,EVEWAT,Coleman,63,,WAT
16,2018-12-10,EVEWAT,Doucouré,65,,WAT
