matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
30,2019-03-09,12:30:00,Crystal Palace,CRY,Brighton and Hove Albion,BHA,CRYBHA,24972
30,2019-03-09,15:00:00,Cardiff City,CAR,West Ham United,WHU,CARWHU,32458
30,2019-03-09,15:00:00,Huddersfield Town,HUD,Bournemouth,BOU,HUDBOU,22304
30,2019-03-09,15:00:00,Leicester City,LEI,Fulham,FUL,LEIFUL,32017
30,2019-03-09,15:00:00,Newcastle United,NEW,Everton,EVE,NEWEVE,52242
30,2019-03-09,15:00:00,Southampton,SOU,Tottenham Hotspur,TOT,SOUTOT,31890
30,2019-03-09,17:30:00,Manchester City,MCI,Watford,WAT,MCIWAT,54104
30,2019-03-10,12:00:00,Liverpool,LIV,Burnley,BUR,LIVBUR,53310
30,2019-03-10,14:05:00,Chelsea,CHE,Wolverhampton Wanderers,WOL,CHEWOL,40692
30,2019-03-10,16:30:00,Arsenal,ARS,Manchester United,MUN,ARSMUN,60000
