matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
23,2019-01-19,12:30:00,Wolverhampton Wanderers,WOL,Leicester City,LEI,WOLLEI,31278
23,2019-01-19,15:00:00,Bournemouth,BOU,West Ham United,WHU,BOUWHU,10495
23,2019-01-19,15:00:00,Liverpool,LIV,Crystal Palace,CRY,LIVCRY,53171
23,2019-01-19,15:00:00,Manchester United,MUN,Brighton and Hove Albion,BHA,MUNBHA,74532
23,2019-01-19,15:00:00,Newcastle United,NEW,Cardiff City,CAR,NEWCAR,49864
23,2019-01-19,15:00:00,Southampton,SOU,Everton,EVE,SOUEVE,29989
23,2019-01-19,15:00:00,Watford,WAT,Burnley,BUR,WATBUR,19510
23,2019-01-19,17:30:00,Arsenal,ARS,Chelsea,CHE,ARSCHE,59979
23,2019-01-20,13:30:00,Huddersfield Town,HUD,Manchester City,MCI,HUDMCI,24190
23,2019-01-20,16:00:00,Fulham,FUL,Tottenham Hotspur,TOT,FULTOT,0
