matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
1,2018-08-10,20:00:00,Manchester United,MUN,Leicester City,LEI,MUNLEI,74439
1,2018-08-11,12:30:00,Newcastle United,NEW,Tottenham Hotspur,TOT,NEWTOT,51749
1,2018-08-11,15:00:00,Bournemouth,BOU,Cardiff City,CAR,BOUCAR,10353
1,2018-08-11,15:00:00,Fulham,FUL,Crystal Palace,CRY,FULCRY,24821
1,2018-08-11,15:00:00,Huddersfield Town,HUD,Chelsea,CHE,HUDCHE,24121
1,2018-08-11,15:00:00,Watford,WAT,Brighton and Hove Albion,BHA,WATBHA,20051
1,2018-08-11,21:30:00,Wolverhampton Wanderers,WOL,Everton,EVE,WOLEVE,31231
1,2018-08-12,13:30:00,Liverpool,LIV,West Ham United,WHU,LIVWHU,53235
1,2018-08-12,13:30:00,Southampton,SOU,Burnley,BUR,SOUBUR,30784
1,2018-08-12,16:00:00,Arsenal,ARS,Manchester City,MCI,ARSMCI,59934
