matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
6,2018-09-22,12:30:00,Fulham,FUL,Watford,WAT,FULWAT,23418
6,2018-09-22,15:00:00,Burnley,BUR,Bournemouth,BOU,BURBOU,18636
6,2018-09-22,15:00:00,Cardiff City,CAR,Manchester City,MCI,CARMCI,32321
6,2018-09-22,15:00:00,Crystal Palace,CRY,Newcastle United,NEW,CRYNEW,25679
6,2018-09-22,15:00:00,Leicester City,LEI,Huddersfield Town,HUD,LEIHUD,31676
6,2018-09-22,15:00:00,Liverpool,LIV,Southampton,SOU,LIVSOU,50965
6,2018-09-22,15:00:00,Manchester United,MUN,Wolverhampton Wanderers,WOL,MUNWOL,74489
6,2018-09-22,17:30:00,Brighton and Hove Albion,BHA,Tottenham Hotspur,TOT,BHATOT,30531
6,2018-09-23,13:30:00,West Ham United,WHU,Chelsea,CHE,WHUCHE,56875
6,2018-09-23,16:00:00,Arsenal,ARS,Everton,EVE,ARSEVE,59964
