matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
32,2019-03-30,12:30:00,Fulham,FUL,Manchester City,MCI,FULMCI,25001
32,2019-03-30,15:00:00,Brighton and Hove Albion,BHA,Southampton,SOU,BHASOU,30636
32,2019-03-30,15:00:00,Burnley,BUR,Wolverhampton Wanderers,WOL,BURWOL,20990
32,2019-03-30,15:00:00,Crystal Palace,CRY,Huddersfield Town,HUD,CRYHUD,25193
32,2019-03-30,15:00:00,Leicester City,LEI,Bournemouth,BOU,LEIBOU,31530
32,2019-03-30,15:00:00,Manchester United,MUN,Watford,WAT,MUNWAT,74543
32,2019-03-30,17:30:00,West Ham United,WHU,Everton,EVE,WHUEVE,59988
32,2019-03-31,14:05:00,Cardiff City,CAR,Chelsea,CHE,CARCHE,32657
32,2019-03-31,16:30:00,Liverpool,LIV,Tottenham Hotspur,TOT,LIVTOT,53322
32,2019-04-01,20:00:00,Arsenal,ARS,Newcastle United,NEW,ARSNEW,59869
32,2019-04-02,19:45:00,Watford,WAT,Fulham,FUL,WATFUL,17301
32,2019-04-02,19:45:00,Wolverhampton Wanderers,WOL,Manchester United,MUN,WOLMUN,31302
32,2019-04-03,19:45:00,Chelsea,CHE,Brighton and Hove Albion,BHA,CHEBHA,38593
32,2019-04-03,19:45:00,Manchester City,MCI,Cardiff City,CAR,MCICAR,53559
32,2019-04-03,19:45:00,Tottenham Hotspur,TOT,Crystal Palace,CRY,TOTCRY,59215
