matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
4,2018-09-01,12:30:00,Leicester City,LEI,Liverpool,LIV,LEILIV,32149
4,2018-09-01,15:00:00,Brighton and Hove Albion,BHA,Fulham,FUL,BHAFUL,30526
4,2018-09-01,15:00:00,Chelsea,CHE,Bournemouth,BOU,CHEBOU,40178
4,2018-09-01,15:00:00,Crystal Palace,CRY,Southampton,SOU,CRYSOU,25495
4,2018-09-01,15:00:00,Everton,EVE,Huddersfield Town,HUD,EVEHUD,38767
4,2018-09-01,15:00:00,West Ham United,WHU,Wolverhampton Wanderers,WOL,WHUWOL,56947
4,2018-09-01,17:30:00,Manchester City,MCI,Newcastle United,NEW,MCINEW,53946
4,2018-09-02,13:30:00,Cardiff City,CAR,Arsenal,ARS,CARARS,32316
4,2018-09-02,16:00:00,Burnley,BUR,Manchester United,MUN,BURMUN,21525
4,2018-09-02,16:00:00,Watford,WAT,Tottenham Hotspur,TOT,WATTOT,20141
