matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
19,2018-12-26,12:30:00,Fulham,FUL,Wolverhampton Wanderers,WOL,FULWOL,24382
19,2018-12-26,15:00:00,Burnley,BUR,Everton,EVE,BUREVE,21484
19,2018-12-26,15:00:00,Crystal Palace,CRY,Cardiff City,CAR,CRYCAR,25206
19,2018-12-26,15:00:00,Leicester City,LEI,Manchester City,MCI,LEIMCI,32090
19,2018-12-26,15:00:00,Liverpool,LIV,Newcastle United,NEW,LIVNEW,53318
19,2018-12-26,15:00:00,Manchester United,MUN,Huddersfield Town,HUD,MUNHUD,74523
19,2018-12-26,15:00:00,Tottenham Hotspur,TOT,Bournemouth,BOU,TOTBOU,43164
19,2018-12-26,17:15:00,Brighton and Hove Albion,BHA,Arsenal,ARS,BHAARS,30608
19,2018-12-26,19:30:00,Watford,WAT,Chelsea,CHE,WATCHE,20415
19,2018-12-27,19:30:00,Southampton,SOU,West Ham United,WHU,SOUWHU,31654
