matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,fixture_code,attendance
2,2018-08-18,12:30:00,Cardiff City,CAR,Newcastle United,NEW,CARNEW,30720
2,2018-08-18,15:00:00,Everton,EVE,Southampton,SOU,EVESOU,38601
2,2018-08-18,15:00:00,Leicester City,LEI,Wolverhampton Wanderers,WOL,LEIWOL,32043
2,2018-08-18,15:00:00,Tottenham Hotspur,TOT,Fulham,FUL,TOTFUL,58297
2,2018-08-18,15:00:00,West Ham United,WHU,Bournemouth,BOU,WHUBOU,56888
2,2018-08-18,17:30:00,Chelsea,CHE,Arsenal,ARS,CHEARS,40491
2,2018-08-19,13:30:00,Burnley,BUR,Watford,WAT,BURWAT,18822
2,2018-08-19,13:30:00,Manchester City,MCI,Huddersfield Town,HUD,MCIHUD,54021
2,2018-08-19,16:00:00,Brighton and Hove Albion,BHA,Manchester United,MUN,BHAMUN,30592
2,2018-08-20,20:00:00,Crystal Palace,CRY,Liverpool,LIV,CRYLIV,25750
